,S_No,user_id,username,tweet,unix_time,title,year,rating
148,761249,29073013,gobbyblonde,I rated Moon 8/10 ,1390025688,,,
149,761250,458303572,1979Kim,I rated The Wolf of Wall Street 8/10 ,1390025657,,,
150,761251,16131779,iamleebarry,I rated Lone Survivor 8/10 ,1390025500,,,
151,761252,62156308,aswad_94,I rated The Past 8/10 ,1390025279,,,
152,761253,265468023,fawazar94,I rated Getaway 7/10 ,1390024993,,,
153,761254,265468023,fawazar94,I rated White House Down 8/10 ,1390024928,,,
154,761255,42035234,codeyeuk,I rated 12 Years a Slave 10/10 ,1390024911,,,
155,761256,42266412,luichyguzman,I rated Frozen 10/10 ,1390024897,,,
156,761257,265468023,fawazar94,I rated Thor: The Dark World 8/10 ,1390024839,,,
157,761258,63286353,VGodsay,I rated The Woman in Red 6/10 ,1390024731,,,
158,761259,265468023,fawazar94,I rated Frozen 8/10 ,1390024707,,,
159,761260,19687494,SinCrni,I rated Reasonable Doubt 4/10 ,1390024470,,,
160,761261,2202432791,ConsciousGame,I rated Side Effects 8/10 ,1390024197,,,
161,761262,38271096,rcvargasu,I rated Gravity 9/10 ,1390023888,,,
162,761263,304411832,DrMKandari,I rated Jack Ryan: Shadow Recruit 7/10 ,1390023856,,,
163,761264,65119595,_ehgo,I rated Gravity 10/10 ,1390023669,,,
164,761265,272310764,Rob_Rooke,I rated The Wolf of Wall Street 10/10 brilliant!!,1390023527,,,
165,761266,366630295,GaryDTalbot,I rated J. Edgar 7/10 ,1390023503,,,
166,761267,24942073,Crib_Goch,I rated The Internship 3/10 ,1390023457,,,
167,761268,206825761,THeRAT84i,I rated The Big Lebowski 10/10 ,1390023454,,,
168,761269,336564615,sunners14,I rated Scary Movie 5 3/10 ,1390023416,,,
169,761270,152800233,TheBimal,I rated The Wolf of Wall Street 10/10 ,1390023323,,,
170,761271,141255901,SteveRahaman,I rated Percy Jackson: Sea of Monsters 7/10 ,1390023256,,,
171,761272,265962794,fromGR2UK,I rated Kick-Ass 2 7/10 ,1390023133,,,
172,761273,24477224,DrewMula,I rated The Wolf of Wall Street 10/10 ,1390022939,,,
173,761274,458543836,kimfothers,I rated The Truman Show 8/10 ,1390022906,,,
174,761275,555775310,BeatsandPieces2,I rated $50K and a Call Girl: A Love Story 8/10 ,1390022793,,,
175,761276,13943582,bjornengq,I rated The Wolf of Wall Street 7/10 ,1390022321,,,
176,761277,52075588,RohanMM,I rated The Railway Man 7/10 ,1390022269,,,
177,761278,1941697548,CallumOrr,I rated The Wolf of Wall Street 9/10 on ,1390022190,,,
178,761279,14407517,sonu27,I rated The Wolf of Wall Street 8/10 ,1390022135,,,
179,761280,214869524,Bahauldin,I rated Savages 7/10 ,1390021902,,,
180,761281,400543458,Chris_G_Elias,I rated The Wolf of Wall Street 8/10 ,1390021898,,,
181,761282,120144723,SkillnMovement,I rated The Wolf of Wall Street 8/10 ,1390021851,,,
182,761283,214869524,Bahauldin,I rated Kick-Ass 2 8/10 ,1390021651,,,
183,761284,54199194,Lazibeni,I rated 4C 10/10 ,1390021588,,,
184,761285,57158912,Del971,I rated The Wolf of Wall Street 9/10 ,1390021541,,,
185,761286,476677360,rosselliott76,I rated Warrior 8/10 ,1390021533,,,
186,761287,211561695,Moolan_,I rated Gone Baby Gone 2/10 ,1390021521,,,
187,761288,46229211,mursspaceship,I rated American Hustle 7/10 ,1390021506,,,
188,761289,726648811,Jones94Kyle,I rated Reasonable Doubt 2/10 ,1390021434,,,
189,761290,15486368,Josh_Jones,I rated Saxondale 10/10 ,1390021360,,,
190,761291,378295491,Bo3li_90,I rated The Hobbit: The Desolation of Smaug 7/10 ,1390021337,,,
191,761292,327745951,MoaiadAbdullah,I rated Dallas Buyers Club 7/10 ,1390021264,,,
192,761293,378295491,Bo3li_90,I rated Jack Ryan: Shadow Recruit 2/10 ,1390021228,,,
193,761294,15835465,hifhif,I rated Captain Phillips 8/10 ,1390021145,,,
194,761295,29446380,rstolten,I rated Life of Pi 8/10 ,1390021095,,,
195,761296,170593066,felixgnoyke,I rated The Wolf of Wall Street 9/10 ,1390021067,,,
196,761297,108958279,ChildishJambino,I rated Rush 7.5/10 ,1390021003,,,
197,761298,439896238,BigtWhittingham,I rated Lone Survivor 9/10 ,1390020817,,,
198,761299,270470950,Salsawy,I rated Prisoners 9/10 ,1390020786,,,
199,761300,809829366,PhoenixBlackOps,I rated This Means War 6/10 ,1390020627,,,
200,761301,212299385,JamesHancock11,I rated 12 Years a Slave 8/10 ,1390020566,,,
201,761302,559495396,MugeKesim,I rated Gravity 8/10 ,1390020497,,,
202,761303,240771039,seysey74,I rated Gravity 9/10 ,1390020465,,,
203,761304,32675204,Manpaal,I rated The Wolf of Wall Street 8/10 ,1390020426,,,
